stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0.28,0,0.28,0,0.28,0,0,0.56
21Day,0.37,0,0,0.37,0.37,0,0,0,0.37,0,0.37,0,0.37,0.37,0,0.37,0,0,0,2.59,0,0.37,0,0,0,0,0,0.74
3Month,0,0.1,0.1,4.89,0,0.1,0.1,0,5.93,0.31,0,0.73,0,0.21,0.31,0.1,0,0.1,0.1,0.1,0,0.1,0,0,0,0.31,0.31,0
22Month,0,0,0,0.82,0,0,0.14,0.14,2.87,0,0,0.68,0,0,0,0,0.14,0,0,0,0,0,0,0.14,0,0,0,0.14
