stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0.56,0,0,5.07,0.85,0,0,0,0.56,0,0,0.28,0,0,0
21Day,0,0,0,1.11,0.74,0.37,0,0,0,0.37,0,0,0.37,0,0,0,0.37,0.74,0,0,0,0,1.85,0.74,0,0.37,0,0,0.37,0.37,0,0,0,0
3Month,0.1,0,0.21,1.87,0.1,0,0.1,0.21,0.42,3.64,4.26,2.08,0.52,1.25,0.1,0.1,0.83,0.31,0.21,0,0.1,0.1,0,0.1,0.73,0,0,0.1,0.21,3.22,0,0.1,0.83,0.52
22Month,0,0.41,0.27,1.09,0,0,0,0,0.41,9.98,12.85,1.23,0.41,1.78,0.14,0.68,0.96,2.19,0.14,0.55,0.14,0.14,0,0,0.14,0.27,0.14,0.14,0,1.09,0,0,0,0.82
