stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,1,0,0,0,2,15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,1.69,0.28,0,0,0.28,0,0,0,0,0.28,1.13,53.83,0.56,0.28,0,3.66,0.28,0,0.56,0,0,0.28,0,0,0,0,0,0
21Day,0,0,0,10.36,0,0,0,1.11,0,0,0,0,0,2.22,39.22,0.74,0.37,0,0.74,0,0,0.37,0,0.37,0,0.37,0.74,0,0,0,0
3Month,0.1,0.21,0.21,16.23,0,0.31,0,7.7,0,0,0.94,0.52,0.1,4.68,1.66,2.29,0.62,0.1,0.52,0,0.1,0,0.1,1.77,0,0,0,0,0.52,0.94,0.62
22Month,0,0.27,0.41,2.87,0,0,0.14,15.03,0.82,0,4.78,0,0.55,0.55,0.27,0.96,0.96,0,0.14,0,0.14,0,0,1.23,0,0,0,0.14,0.14,0,0.27
