stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,0.85,0,0,0,0,8.46,0.28,0,0,0,0.56,0,0,0,31,0.85,0,0,0
21Day,0,0,0,0.37,2.59,0,0,0,0,0,0.74,0.37,0,0.74,0,0.37,0,2.22,0,0,0.74,0,5.18,0,0,0,0,0,1.11,0,0.37,101.75,2.22,0,0,0
3Month,0,0.42,0,5.62,0,0.21,0.1,0.62,1.35,0,9.99,1.25,0,2.39,0.42,2.7,1.46,1.25,0.83,0,0.21,0.1,0.42,0,0.21,0.1,0,0.21,0.31,1.25,0.1,3.54,0,0.31,0.94,0.73
22Month,0.82,1.64,0.41,8.06,0,0.96,0.27,1.23,6.7,2.32,97.02,2.73,0.96,7.24,0.14,1.64,6.7,7.38,0.41,3.28,0.55,0,0.68,0.27,1.64,0.68,0.27,0.27,0.27,1.64,1.78,88.96,0,0.27,0,1.78
