stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0.85,0,1.97,0.28,0,0.28,0,0,0,0
21Day,0.37,0,0,1.85,0,0,0,0,0.74,0,0,0,0,0.37,0.37,0
3Month,0,0.1,0.52,0,0.52,0.1,0,0,0,0,0.1,0,0.31,0,0,4.26
22Month,0,0,0,0,0.27,0.41,0,0.14,0,0,0,0,0,0,0,0
