stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,2,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0.28,0,0,0,0,0,0,0,0,3.66,0,1.41,0,0,0,16.91,2.54,0,0,1.69,0,0,0.28,0.28,0,0,0,0
21Day,0.74,0,4.81,0,0,0,0,0,0.37,0.74,0,0,4.44,0.37,0.74,0,0.74,0,8.14,0.74,0,0.37,0,0.37,0,0,0,0.37,0,0,0
3Month,0.1,0.1,6.45,0,0.1,0.42,0.31,1.04,0.73,0,0.94,0.52,1.14,1.04,0.52,1.46,0.1,0.21,0.1,0,0.94,0.21,0,0,3.95,0.1,0,0.1,0.42,3.02,0.83
22Month,0,0,0.68,0,0,0.27,0.14,5.88,0,0,1.91,0.55,0,0.55,0.41,0,0,0,0,0,0.68,0.41,0.14,0,0.68,0.14,0,0,0,0,0
