stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,1,1,2,0,0,0,1,8,4,0,32,1,0,0,0,0
72hpf,0.56,0,0.56,0,0,0,0.28,0,0.85,0.56,2.25,0,0,0.28,0,0
21Day,0,0,0,0,1.11,0,0,0.37,0.37,0,0.37,0,0,0,0,0.37
3Month,0,0,0.1,0.1,0,0.1,0,0.1,0,0,0,0,1.77,0,0.1,0
