stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0
21Day,0.74,0,1.85,5.55,1.11,0,0.37,0,2.96,0,0,1.48,0,0.74,14.43,0.37,0.74,1.85,1.11,0,0,0,0,1.11,0.37,4.07,0,0.37,0.37,0,0,0,0.37,0,0,0,0
3Month,0.1,0.42,5.51,33.91,0,0.73,0,0.21,43.9,2.29,0,14.98,22.88,0.1,260.15,0.94,3.22,8.84,6.35,0.94,0.21,5.62,4.16,0.21,0,9.99,0.1,0.31,1.98,0.21,2.39,0,0.1,0.31,0.52,2.81,2.81
22Month,0,0.82,4.65,8.06,0,0.27,0,0,18.31,2.32,0.82,19.81,5.06,0.41,147.31,0.14,0.14,3.14,3.14,0,0.82,3.42,0.27,0.41,0,4.65,0.41,0,0.27,0,0.55,0.14,0.27,0,0,0,0.55
