stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulosa_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0.28,0,0,0,0,0.56,0,0,0,0.28,1.97,0.85,0,0.28,0
21Day,0.37,0,0.74,0.74,0,0,0,0,1.48,0,0,1.48,0,0,0,0
3Month,0,0,0.21,0,0,0,0,0,0.21,0.1,0,0,0,0,0,0
22Month,0,0,0.27,0,0.14,0.27,0,0.14,0,0,0,0,0,0.27,0,0.14
