stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0.56,0,0.28,0.56,0,0,0,0
21Day,0,0.74,0,0,0,0,0,0.37,0,0.74,0.37,0,0,0.37,0,0,0.37
3Month,0,1.35,0.31,0.21,0,0.1,0.1,0.52,0.21,0.52,0,0.1,0,0,0.21,0.1,0.21
22Month,0,0.14,0,0,0.14,0.27,0,0,0,0,0,0,0,0,0,0,0
