stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte
24hpf,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,1.97,0.28,0,0.56,0,0,0,0.56,0
21Day,0,0.37,0,0.37,0,0,0,0,0,0,0.74,0,0,0,0.37,0,0,0.37,0.37,0,0.37,0.37,0
3Month,0,0.21,0.21,0.21,0,0.31,0.1,0.31,0.1,0.31,0.31,0.1,0.21,0.1,0,0,0.21,0,0,11.13,0,0,3.74
22Month,0.14,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,3.55,0,0,0.14
