stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0.37,0,0,0,0,0,0,0.37,0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.21,0.1,1.77,0.52,0.52,0,0.52,46.91,0,2.5,27.04,1.77,1.14,0.1,1.14,21.01,0.73,0.21,0.31,0.1,0,0.1,0.21,0.73,0.21,0.94,0.1,0.1,0.42,0.62,23.61
22Month,0.55,0,0.55,0.14,0.14,0.14,0.14,47.28,0.14,3.01,7.52,1.37,0,0,0.27,20.5,0.41,0,0,0,0,0,0,0.27,0,0,0.27,0,0,0.14,13.8
