stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,17,5,31,1,2,0,0,217,0,1,1,3,23,15,47,0,0,0,0,32,378,1,0,7,0,0,0,2,0
72hpf,4.23,0.56,32.98,0.56,2.82,0.56,0,0.85,0,0,0,1.69,16.63,0.85,9.58,0,1.41,0.28,0,40.3,15.78,0.28,0,5.36,0,3.1,0.85,0.85,0
21Day,0.74,0.74,0,0,0,0,0,0,0,0,0,0,0,0,1.48,0.37,0,0,0,0.37,0,0,0.37,1.48,0.37,0,0,0,0
3Month,0,0,0.21,0,0,0,0,0,0.1,0,0.21,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.62,0,0,0,0.42
22Month,0,0,0.14,0,0,0,0.14,0,0.27,0.14,3.55,0,0,0,0,0,0,0,0.27,0,0,0.27,0,0,0.68,0,0,0,0
