stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0.28,0,0,0,0,0,0.28,0.28,0,11.56,1.13,0,0,0.28,0,0.28,0,0.28,0,0,0
21Day,0.74,0,0,0.37,0,0,0.37,0.37,0,0.74,0.37,12.95,1.85,0.37,0.37,0,0,0,0.37,0,0,0,0.37
3Month,0,0.42,0.1,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,1.04,0,0,0,0.1,0.83,0
22Month,0,0,0,0,0,0.14,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0
