stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell
21Day,0,0,0,0,0.37,0,0.37,2.22,0.37
3Month,0,0,0,0.1,0,0.1,0,0.1,0
22Month,0.14,0.14,0.96,0.41,0,0.14,0,0.27,0
