stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,7,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0,0.28,0.28,0.85,0,0,0,0.28,0,0,0,0,0.28,0,0.28,1.41,0,1.41,0,0,0,0,7.05,8.74,0,0,0,0.28,0,0,1.13,0,0,0,0
21Day,1.11,0,3.7,0.37,1.11,0,0,0,0,0,0,0.37,1.11,1.11,0,0,0.74,0.37,2.59,0,0,0,0,4.44,1.48,0,0.37,0,1.48,0.74,0.37,0,0,0,0,0.74
3Month,0.1,0.31,4.78,0,0,0.1,0.31,1.56,7.07,0.1,0,6.87,8.53,0.42,3.64,0.21,1.04,3.74,2.81,0.94,0.1,1.77,0.1,0.31,0.21,0.42,1.66,0,0.31,1.66,16.75,0,0.1,0.62,15.08,3.85
22Month,0.27,0.82,1.09,0,0,0,0.41,0.41,5.88,1.78,0,67.37,3.55,0.41,2.32,0.14,0.14,2.05,2.05,0,0.41,0.55,0,0,0,0.68,1.09,0.14,0,0,0.96,0.41,0,0.41,0,1.5
