stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,1,5,0,3,0,0,0,0,18,0,0,0,0,0
72hpf,0.28,0,0,0.56,0,0,0,0,0,0,0,0,6.2,0.28,0,0,0,0,0.85,1.97,0,0,0,0,0
21Day,0,0,0,1.85,0,0,0.37,0,0,0,0,0.37,0.74,0.37,0.74,0,0,0,0.37,0.37,0,0,0,0,1.48
3Month,0,0,0.1,9.15,0.1,0.1,1.46,0.83,12.59,0.1,0.52,0.52,0.73,0.73,0.21,0.1,0.21,0.21,0.31,0,4.26,0.1,0.1,0.1,2.29
22Month,0,0,0,0.55,0,0,1.37,1.78,1.91,0.14,0.41,0,0,1.64,0.27,0,0,0,0,0,0.27,0,0,0,0.82
