stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,2.54,0,28.75,0,0,0,0,0,0,0,0,0,0,0,0.28,14.94,0.56,11.84,0,0.28,0.28,0,2.25,1.69,0,0,10.99,0,0,0,0,0,0,0,0
21Day,0.74,0.74,0,6.66,0.37,0,0,0,0,0,0,0,0,0,0,0.37,5.55,0,12.21,0,0,3.7,0,1.11,1.85,0,0,3.7,0,0,0,0.37,0,0.74,0,0
3Month,0.1,6.55,0.1,5.93,0,0,0,0.31,0,1.66,0,2.5,0.52,0.1,0.94,0.1,6.55,0.73,26.63,5.62,0,1.14,0,0,0,0.1,0,0.62,0.42,0.62,0,0,0.31,13,0.31,0.62
22Month,0.14,6.15,0.14,1.91,0,0.27,0.14,0.14,0.14,0.14,6.42,6.7,0.14,0,0.27,0,0.96,0.14,14.35,0.55,0.14,0.82,0.14,0,0,0.27,0.14,0.14,0.14,0,0.14,0,0.14,1.91,0,0
