stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Primordial_germ_cell,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,2.25,0,0,0,0,0.28,0,0
21Day,0,0.37,0.37,0,0,0,0.74,0,0,0.37,0,0,0,0,0
3Month,0,0.21,0.21,0,0,0.1,2.81,0.1,0.1,0.1,0,0.31,0,0.1,0.1
22Month,0,0.14,0,0.14,0.27,0,3.69,0,0,0.14,0.14,0,0,0.14,0
