stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,1.11,0,0,0,0,0,0,0,0.37,0
3Month,0.21,0,2.5,0.21,0.62,0,0.1,3.54,0.21,0.1,0.1,0.1,0,0.1,0,0,0.1
22Month,0,0.14,4.51,0.68,0.14,0.14,0.14,1.78,0.14,0,0,0,0.27,0,0.14,0,0
