stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,6,0,0,0,0,0,0,1,0,0,0,0,10,0,3,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0
72hpf,0,0,1.97,0,0.28,0,0,0,0,0,0,0,0,4.23,14.09,0,0,0,0,0,0,0.28,0.28,0,0,0.56,0,0,0.28,0,0,0
21Day,0,0.37,3.7,0,0.37,0,0,0,0,0,0,0,2.59,0.74,9.62,0,0,0,0,0,0,1.48,0.37,0,0,1.85,0.37,0,0,0,0,0
3Month,0.1,0.62,14.67,0,0,0.21,5.93,0.1,0,0,3.02,0.62,21.32,2.5,1.56,1.46,0.21,0.21,0,4.89,1.04,0.1,0,0.83,0.21,0,0.52,0.62,0,0.52,0.42,0.62
22Month,0.14,1.64,11.21,0.14,0,0,5.88,0.68,0.27,0,3.42,0,23.64,0.27,0.82,0.41,0.68,0,0.27,1.91,0,0,0,0.68,0,0,0,0,0,0,0,0
