stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,11,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0.28,0,0,0,0,0,0.28,1.13,0,0.56,0,0,4.23,2.82,0,0.56,0,0,0.28,0.28,0,0
21Day,0.37,0,0,1.48,0.37,0.37,0,0,0,0,0,0,0.74,0,2.22,0.37,0.37,2.59,0.74,0,0,0.74,0,0,0,0,0.37
3Month,0,0.1,0,0.31,0,0,0,0.83,0.1,0.1,0.1,0.1,0,0,0,0.1,0,0,0,0.1,0,0,0.1,0,0,0.42,0.21
22Month,0,0.14,0.14,0.14,0,0,0.14,1.37,0,0,0.14,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0.14
