stage,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Mesenchymal_cell,Mt_rich_cell,Neural_progenitor_cell
24hpf,0,0,0,0,0,0,1
72hpf,0,0,0,0,0.28,0,0.85
21Day,0,0,0,0,0,0,0.37
22Month,0.14,0.14,0.14,0.68,0,0.41,0
