stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,2,11,1,0,0,0,1,0,0,0,0,3,9,6,23,0,0,2,177,0,2,0,0,0,0,2,0,0,0
72hpf,1.13,0.56,1.13,0.56,0.28,0,0,0,0,0,0,0.28,0.28,0.56,0,4.51,0.28,0,3.66,16.07,0,2.25,0,0,0.28,0,0.28,0,0,0
21Day,2.59,0,7.4,11.84,5.92,0,0.37,0,0,0,2.96,0.37,0.74,0.74,0.74,4.44,0,0.37,1.85,11.84,0,1.11,0,0.37,1.48,0.37,0,0,0,2.22
3Month,0.1,0,0.31,0,0.1,0.1,0.52,0,2.08,0.21,0.1,0.31,0,0,0.21,0.1,0,0,0,0.31,0,0,0.1,1.77,0.1,0,0,0.1,0.31,0.31
22Month,0.14,0,0.27,0,0,0,0.55,0,0.68,0.14,0.41,0.27,0,0.27,0.96,0,0.27,0,0,0,0.14,0,0,0.14,0,0,0,0,0,0
