stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,14,13,0,43,2,0,0,0,1,0,3,0,0,0,0,4,5,21,104,0,0,0,0,38,1247,0,0,22,1,0,0,0,0,7,0,0,0
72hpf,11.56,2.82,0,9.58,2.25,3.95,0,0,0.56,0,0,0,0,1.41,0,4.79,16.35,0.85,50.45,0,1.97,0.56,0.56,227.45,276.49,0.28,1.13,35.23,0.56,0,22.83,0.56,0.28,2.82,0,0,0
21Day,16.65,4.44,0.74,29.97,1.11,10.36,0,6.29,1.11,0,0,1.48,0,14.06,1.85,1.11,5.18,5.92,93.61,0,0.37,8.88,0.37,120.62,155.02,0.37,1.11,30.34,10.73,0.74,16.65,1.11,2.96,2.59,0.37,0,4.07
3Month,0.1,0.42,0,2.7,0,0,0,0,0.31,0.1,0,2.81,0.62,0.1,1.56,0.21,1.14,1.14,1.87,0,0,0.1,1.25,0,0.21,0.21,0.1,0.21,0,4.26,0,0,0,0,0.52,1.04,0.31
22Month,0.14,0.27,0.14,2.32,0,0,0.14,0,0.14,0.41,0,5.06,0,0.41,0.96,0,0.14,0.27,2.73,0.14,0.27,0,0,0,0,0.14,0.27,0.14,0,1.09,0.27,0.14,0,0,0.27,0,0.27
