stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
21Day,0,0,0,0,0,0,0,0,0,1.11,0,0,0
3Month,0.62,0.21,0.52,0.1,0.21,0.1,0.1,0.21,0.1,18.41,0.1,0.1,5.82
