stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0
21Day,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0.37,0,0.37,0,0.37,0,0,0.37,0,0,0,0,2.59,0,0,0.37,0
3Month,0.31,0.31,4.78,0.21,0.1,0,1.04,0.73,3.95,1.66,0.1,4.26,0.52,1.14,1.14,1.04,0.31,0.21,1.04,0.52,0.31,0.31,0.31,0,1.04,160.81,0.1,0.52,113.07,0.62
22Month,0.14,0,0.55,0,0,0,0.96,0.14,3.14,0,0,2.87,0,0,0,0.41,0,0.14,0,0.27,0,0.14,0,0.14,0,28.7,0,0,0.68,0.41
