stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia
24hpf,1,2,0,0,0,0,0,1,3,0,43,0,0,0
72hpf,0.28,0.28,0,0,0,0,0.28,0,0.28,4.23,1.97,0.28,0.28,0.85
21Day,0.37,0,0.37,0.37,0,0,0.74,0.37,0,0.37,0,0,0.37,0
22Month,0,0,0,0,0.27,0.27,0,0,0,0,0,0,0,0
