stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,163,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,16,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,117.25,0.28,0,0.56,1.41,0,0,0,0,0,0,0,0,0,0,0,1.41,0,4.79,0,0.28,0.56,0.56,6.76,7.05,0.28,0,0,1.13,0,0,1.97,0,0,0.85,0,0
21Day,54.02,0.37,4.44,1.48,2.96,0,0.74,0,0,0.37,0,0,0,0.37,0.37,0,0.74,1.85,6.29,0,0,4.07,0.74,7.03,2.22,0,0,0,0.74,0,0,1.11,0,1.11,0,0,0.74
3Month,8.63,0,15.08,3.33,0,0.1,0.21,0.1,1.56,0.73,0,4.99,1.14,0.1,3.22,0.1,0.94,0.42,1.77,0.21,0.21,0.21,18.93,0.21,0.1,0.1,0.21,0,1.04,1.14,0.52,3.85,0,0,0.1,0.42,0.42
22Month,3.28,0.96,7.52,0.82,0,0.41,0,0,1.09,0.55,0.27,25.01,0.55,0.41,2.6,0,0.41,1.23,3.28,0.14,0.68,0.27,0.55,0.14,0,0.27,0.14,0.14,0,0,0.68,33.89,0.27,0,0,0.14,0.41
