stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,12,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0.28,0.85,0,0,1.97,1.41,0,4.23,0.28,0,0,0.28,0.56,0,0,0
21Day,0.37,0,0,1.85,0.37,0,0,0,0.37,0,0.74,0.74,0,0,0,1.48,0,0.37,0.37,0.74,0.37,1.48,0.37,0,0.37,0.37,0,0,0,0
3Month,0,0,0.1,0.94,0,0,0.31,0.42,3.22,0.1,0,2.18,0,0.21,0,0.62,0,0.21,0.31,0,0,0.1,0.21,0.83,0.1,0,0,0.1,0.62,0.1
22Month,0,0.14,0,0,0,0.14,0.27,0.14,17.35,0,0,2.05,0.14,0,0.14,0.41,0.41,0,0.14,0.14,0,0,0,0.14,0,0,0,0,0,0.14
