stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
72hpf,0,0,0.56,0,0,0,0,0,0,0.28,0,0,0,0.56,0.56,0.28,0,0,0
21Day,0,0,0,0,0,0,0.74,0,0,0,0,0.37,0,0,0.37,0,0,0,0.37
3Month,0.1,1.04,0.31,0.21,0.21,0.1,0,0.1,0.21,0.52,0.21,0.21,0.1,0.31,0,0,0.1,17.37,0.83
22Month,0,0,0.14,0,0.68,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0
