stage,Epithelial_cell,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mt_rich_cell,Neural_cell
24hpf,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,1.69
21Day,0,0,0,0,0,0,0.74
3Month,0,0,0.1,0.1,0,0,0
22Month,0.14,0.41,1.5,0,0.27,0.14,0
