stage,Epithelial_cell,Hepatocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,0.56,0.28,0,0
21Day,0.37,0,0,0,0,0,0
3Month,0,0,0,0,0,0.1,0
22Month,0.14,0.55,0.14,0,0,0.14,0.14
