stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,1,1,2,0,0,0,0,0,0,0,0,6,0,3,70,0,0,0,0,0,0
72hpf,1.13,0,1.41,0.56,0,0,0,0,0,0,0.28,2.25,0,22.83,10.99,0,2.25,0,0.28,0.28,0
21Day,0,0,0.74,1.11,0.37,0,0,0,0,0,0.37,1.85,0.37,2.96,2.96,0.37,0.37,0,0.37,0,0
3Month,0,0.1,0.1,0,0,0.1,0,0.62,0.1,0.1,0.1,0.21,0.1,0,0,0,0,0.21,0,0,0
22Month,0,0,0.14,0,0.14,0,0.14,0.96,0,0,0,0.14,0,0,0,0.14,0,0,0,0,0.14
