stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Primordial_germ_cell,Radial_glia,T_cell
21Day,3.33,0,0.37,0,0,0,0.37,0,0.74,0,1.11,0.37,0.37,0
3Month,2.6,0.1,0,0,0.52,0.94,0,0,0.1,0,0,0.1,0,0.1
22Month,1.64,0,0,0.14,1.5,30.2,0.14,0.41,0.14,0.14,0,1.23,0.14,0
