stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0
72hpf,0.85,0,0,0.85,0.56,0,0.28,0,0.28,0,0,0.28,0.85,0,3.1,0,0.56,0.56,88.5,4.79,0,7.89,0,0,0,0
21Day,0.74,0,0.37,0.74,1.11,0,0,0.37,0,0.37,0,0,0,0.74,11.1,0,0,1.48,24.79,2.22,0.74,4.44,0.37,0,0.74,0
3Month,0,0.21,0,0.21,0,0,0,0,0.1,0.31,0.1,0,0,0.52,2.81,0.1,0,0,0.42,0,0,0.52,0.1,0.21,0,0.1
22Month,0,0.14,0,0.82,0,0.14,0,0,0.14,1.64,0.14,0,0,0,2.19,0,0,0.27,0.14,0,0,0,0,0,0,0
