stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
72hpf,0,0,0,0,0.56,0,0,0,0,0,0,0,0.28,0,0,0,1.69,0.85,1.13,0,0.28,0,0
21Day,0,0,0,1.85,0.37,0,0,0,0,0.74,0,0.37,0,0.37,0,0,0,0,0,0,0,0,0
3Month,0.1,0,0.1,3.33,0,0,0.1,0.73,0.31,0.1,0.21,4.99,0.42,0.21,0,0.21,0,0,0,2.7,0.1,0.73,0.42
22Month,0,0.14,0,0.55,0,0.41,0.41,2.05,0,0,0.27,0.68,0.41,0.27,0.14,0,0,0,0,0.96,0,0,0.14
