stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Primordial_germ_cell
24hpf,0,0,0,1,0,0,0,0,0
3Month,0,0.1,0.1,0,0.31,0,0.1,0,0
22Month,0.14,0,0,0,1.23,0.14,0,0.27,0.14
