stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,42,0,0,0,2,0,1,0,0,0,0,0,1,14,54,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0.56,0,8.74,0,0.56,0,0,0,0.28,0,0,0,0.56,0,0.85,27.06,1.69,1.41,0,0,0,0.56,1.69,0,0,0,1.13,0,0,0.56,0,0,0,0
21Day,0.37,0.37,0,43.29,0,0.74,0,0.74,0,1.11,0,0.37,0,1.48,0,0.74,33.3,4.07,2.59,0,1.48,0,0.74,0,0,0.37,0,0.74,0.74,0,0,0.74,0,0,0.37
3Month,0.21,0.31,0.1,24.13,0.1,0,0.21,0,1.25,10.4,0,2.39,3.22,0.42,1.14,0.42,17.79,19.14,2.29,1.46,2.6,0.62,0.1,0,0.31,0,0,0,0.52,1.14,0,0,1.04,0.42,4.89
22Month,0,0.27,0.14,11.48,0,0,0.27,0,1.64,25.96,5.88,7.79,0.82,0.82,1.09,0,5.6,26.37,2.73,0.27,2.32,0,0.41,0,0,0.27,0.14,0,0.14,0.27,0,0,0,0,2.05
