stage,Cardiomyocyte,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,2,0,0,0,0,0,0,1,1,0,2,5,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,1.13,0.28,0,0,0,0,0
21Day,0.74,1.48,0.37,0,0,0.74,0.37,0.37,0.37,3.33,0,1.48,1.48,0.37,0,0.37,0,0
3Month,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.21,0,0,0
22Month,0,0.14,0,0.41,0.82,0.27,0,0,0,0.14,0.14,0,0,0,0,0.14,0.14,0.14
