stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,34.1,0.56,0,0,0.56,0,0,0,0,0,0,0,0,0.28,0.28,0,1.97,0,0,0,5.64,2.54,0,0.28,1.13,0,0,0,0,0,0.28,0,0,0
21Day,18.87,0,0,2.22,0,0,0.74,0,0,1.11,0,0.74,0.37,0.37,0.74,0.37,1.48,0,0,0.74,1.48,1.48,0,0,1.48,1.11,0,0.37,0.37,0.37,0,0,0,0
3Month,3.43,0.94,0.1,1.25,0,0.1,0,0.1,0.1,19.76,0.21,0.52,1.04,0.42,0.62,0.1,0.62,0.1,0,1.46,0,0,0.1,0.1,0,0.52,3.33,0.21,0,0,0,0.1,2.7,0.21
22Month,1.37,0.55,0,0.96,0,0,0,0,0.14,13.94,0.27,0.14,0.41,0.27,0.14,0,0.82,0,0.41,0.55,0,0,0,0,0,0,1.91,0,0,0,0,0,0,0.27
