stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,6,5,0,0,1,28,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.56,0,2.54,0.28,0,0.28,0,0,0,0,0,0.56,0,0,5.92,0,1.97,0,0.28,1.97,7.61,0,1.97,0,0,1.41,0,0,0,0
21Day,1.85,0.37,0,6.29,1.85,0,1.11,0,0.37,0,0,0.37,4.44,0,1.11,8.14,1.85,3.7,0.74,0,0.74,1.85,0.37,1.48,0,0,0.74,1.11,0,0,2.59
3Month,0,0,0.1,1.66,0,0,0.1,0.21,0.42,0,4.16,0.83,0.1,0.83,0.31,0.94,0.52,0.62,0.31,0.21,0.1,0.1,0,0,0.21,0.21,0,0,0.21,0.21,1.04
22Month,0,0.41,0.14,0.82,0,0.14,0,0.14,2.6,0.55,8.61,1.64,0,0.96,0,0,0.82,0.55,0,0,0.14,0,0,0,0,0.27,0.14,0,0,0,0.14
