stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0.37,0,0,0.37,0,0,0,0,0,0,0,0,0,0.37,0.74,0,0,0,0
3Month,0.31,3.02,0.31,3.95,0.31,0,6.55,0.31,0,29.23,0.21,0.31,0.31,0.21,0,0.21,0.73,0.1,0,0,0.52,0.31,0.31,0.1,0.52
22Month,0,0.14,0,0.14,0.27,0.14,3.42,0,0.14,5.6,0,0,0.14,0,0,0,0,0,0,0.14,0.14,0.27,0,0,0
