stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,1.69,0,1.13,0,0,0,2.54,4.51,0.28,0,2.54,0,0,0,0,0.56,0,0,0
21Day,2.96,0,0,0.74,0,0.37,0,0,0,0,0,0,1.48,0,0,0,0,4.44,0,0,0,4.07,2.96,0,0,3.7,0.37,0.74,1.85,0.37,0,0,0,0
3Month,0.21,0.21,0.31,1.46,0.1,0.1,0,0.94,0.52,0.1,1.66,0.31,0,0.31,0.31,0.42,0.31,5.72,3.33,0,0.52,0,0.1,0.1,0.52,0.1,0.42,20.49,0.31,0,0.1,0.52,0.62,0.21
22Month,0.27,0.41,0,0.68,0.14,0,0.14,0.82,0.82,0.41,4.51,0,0.68,1.37,0.14,0.27,2.19,26.37,1.91,0.14,0.82,0.41,0.14,0.41,2.19,0.14,0,18.17,0.14,0,0,0.14,0,0
