stage,Cardiomyocyte,Erythrocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,2,0,0,0,0
72hpf,0.56,0,0,0,0,0,0,7.05,1.41,0.28,0,0.28,0
21Day,0,0.37,0,0,0,0,0.37,6.66,0.74,0.37,0.74,0,0
3Month,0,0,0,0.21,0.21,0.1,0,0,0,0,0,0,0.1
22Month,0,0,0.14,0.14,0,0,0.14,0,0,0,0,0,0
