stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,14,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.41,0.56,0,0,0,0,0,0,0,0.56,3.1,0,2.82,0,0,7.61,1.13,0.28,8.17,0,0.28,0,0,0,0.28,0,0
21Day,1.85,0.37,1.11,32.19,1.11,2.59,0.74,0,0,0,0.37,0.37,2.59,10.73,2.59,32.19,6.66,0,22.2,4.44,0.37,14.43,1.85,0.74,0.74,2.96,5.55,2.96,0,0.74
3Month,0,0.1,0,2.6,0,0,0,0,0.42,0.21,0,0.42,0.21,0.73,0.21,0.94,0,0.1,0.1,0,0,0,0.21,0.31,0,0,0,0,0.1,0.21
22Month,0,0,0,0.14,0,0,0.14,0.41,1.91,0.14,0.14,0,0,0.14,0.14,0.96,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0
