stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,57,0,0,0,0,1,7,0,0,0,4,0,0,0,0,0,0,0,0
72hpf,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,4.23,0,0,0.28,0,1.41,0.28,0,0,0,10.99,0,0,0,0,0,0,0,0
21Day,0,0,0,0.37,0,0.37,0,0.37,0,0,0,5.55,0,0.37,0,0,0.37,0.37,22.94,0,0,1.11,0,2.22,0.37,0,0,0,12.95,0,0,0.37,0.37,0.37,0.74,0,0.37
3Month,0.21,0.73,0,0.94,0.1,0,0.1,0.1,0.1,0.1,0.42,16.85,0.31,0,0.62,0.1,0.73,0.52,17.37,6.97,0,1.46,0.21,0.1,0,0,0.1,0,1.46,0.21,2.18,0,0,0,0.21,0.42,0.21
22Month,0,1.91,0.14,1.09,0,0,0.27,0,0,0.14,0.68,176.96,0.27,0.14,1.23,0,0.27,0.14,12.44,0.55,6.29,0.82,0,0.14,0,0.27,0.14,0.14,0.96,0,1.5,0,0,0,0.14,0,0.27
