stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,4,4,1,18,0,7,0,1,0,0,1,0,0,4,52,5,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.85,1.13,0.85,66.8,0,9.58,0,1.97,0,0,4.51,0,0.56,1.13,1.13,1.13,0,0,0,5.36,10.43,0,0,1.69,0,0,0.56,0,0,0,0,0,0
21Day,1.11,0.37,2.96,0,172.41,0,92.87,0,1.11,2.22,2.22,11.47,0.37,0,1.11,2.59,3.7,0,0.37,0,3.7,1.48,0,0.37,2.22,1.85,0,0,0,1.85,0,0,0,1.11
3Month,0.1,0.31,2.18,0,0,4.68,20.49,0.1,36.41,2.18,12.17,14.15,0.42,0.42,0.83,4.47,0.83,0.21,0,0.1,0.21,0.21,0,0.1,0,0.52,0.83,0.1,0,0,0.21,0.31,0.31,1.66
22Month,0,0.27,0.27,0,0,2.05,5.33,0.27,15.44,1.91,10.93,15.58,0.27,0,0,3.96,0.41,0,0,0,0,0,0.14,0,0.14,0.14,0.14,0,0.14,0,0,0,0,1.23
