stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0.28,0,0,0,0.56,0,0,0,0,0,0
21Day,0,0,1.85,0.37,0,0.37,0,0,0,0,0,0,0,0.37,1.48,0.37,4.81,0,0,0.74,0,0.74,0.37,0,0.37,0,4.44,0,0,0,0,0,0
3Month,2.18,0,5.82,0,0.21,0,0.73,0.31,0,14.04,1.25,0.1,1.14,0.31,3.64,0.42,15.71,1.14,0,0.94,0.42,2.18,0.1,0.1,0.31,0,0.52,0.83,21.43,0.1,1.04,96.22,0.52
22Month,2.05,0.14,2.32,0,0.27,0,0.14,1.5,124.9,40.04,0.68,0.27,1.78,0.14,0.27,1.23,6.83,0.14,0.68,0.68,0.27,1.37,0.14,0.27,0.14,0.27,0.27,0.27,0.55,0.14,0.27,0.41,0.82
