stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0,0.28,0.56,0,0,0.28,0,0.28,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0.37,0,0,0,0,0,0.37,0.37,0,0.74,0,0,0,0,0.37,0.74,0,0.37,0,0,0,0
3Month,0.1,0.1,1.14,0.21,0.1,0,2.18,0.42,1.25,0.1,0.52,0.42,1.14,0,0.62,0.42,0,0.21,0,0.1,0.42,56.17,0.21,0.1,0.1,0.21,52.84,0.42
22Month,0,0,0,0,0.14,0.14,0.55,0,0.27,0,0,0,0.27,0,0,0.14,0,0.14,0.14,0.27,0,15.17,0,0,0,0,0.14,0
