stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,8,0,0,0,2,72,0,0,3,0,0,0,0,4,0,0,0
72hpf,1.97,0,0,1.41,0.28,2.25,0,0,0,0,0,0,0,2.54,0.28,23.39,0,0.56,0,23.11,57.5,0.28,20.86,21.7,0,0,23.39,0.56,13.25,0,0,0
21Day,2.96,0.74,0.37,3.7,0,1.85,0,0,1.11,0,0.37,0.74,0.37,2.96,0.37,54.39,0.37,0.74,0,12.95,18.5,0,68.82,14.06,3.33,0,13.32,1.11,3.33,0,0,1.48
3Month,0,0.42,0,1.14,0,0,0.21,1.14,1.66,0.62,0,0.73,0.21,0.31,0.1,6.45,0.62,0.1,0.1,0.31,1.04,0.21,38.9,0.1,0,0.42,0.21,0,2.81,0.83,0.31,0.1
22Month,0,0,0,0.68,0,0,0,0.27,2.05,0.14,0,0.27,0,0,0,4.51,0,0.14,0,0.68,0.41,0,12.16,0,0,0.14,0.27,0,0.82,0,0,0.27
