stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,1,0,0,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
72hpf,16.07,0,0,0,0,0,0,0,0,0,1.13,0.85,0.28,0,0,0,0,1.97,0.28,0.28,0,0.28,0,0,0,0,0,0
21Day,4.07,0,0,1.11,0,0,0.37,0,0.37,0,1.85,2.22,0,0,0,0.37,0,0.74,0,0,0,0,0.37,0,0,0,0,0
3Month,0.21,0.1,0.31,0.83,0,0.1,1.66,0.52,0.1,0.73,0.94,0.31,0.1,0.1,0,0.1,0.1,0,0,0.21,0.1,0,0.1,0.31,0,0,0.21,0
22Month,0,0.14,0.14,1.09,0.41,0.68,6.7,0.27,0.14,0.82,0.27,0.14,0.27,0.41,0.27,0.14,0,0.14,0,0.14,0.14,0,0,0.27,0.14,0.14,0,0.14
