stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.28,0,0,0,0.28,0,0.85,8.46,0.28,0.28,0,0,0,0.56,0.28,0,0,0,0,0,0.28,0.28,0,0,0
21Day,0.74,0,0,1.11,0.37,0,0,0,0.74,0,0,0.37,6.66,0,0,0.37,2.96,0.37,0,0,0,0.37,0,0,0,0.37,0,0,0,0.74,0,0,4.81
3Month,0.21,0.42,0,5.62,0,1.04,0.1,0.42,26.63,0.1,2.18,19.35,6.55,9.78,0.42,1.14,21.32,9.99,2.5,0.62,0.31,0.1,0,0.1,0,0.1,0.62,0.1,0.73,0.21,0.73,1.04,64.8
22Month,0,0.14,0.41,1.23,0,0.41,0,0.14,28.15,0.14,2.05,4.92,5.06,4.24,0,0.27,13.94,1.23,0.14,0.14,0,0,0,0,0.14,0,0.14,0,0,0,0,0,12.71
