stage,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Primordial_germ_cell,Retinal_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,2,0,0,0,10,1,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0.28,0.85,0,0.28,0,0.28,0,0
22Month,0.82,1.23,1.5,0.55,5.06,0.27,0.41,0.14,0.55,0.96,0.41,0.41,0,0.27,0.14,0,30.61,0,0.14,0.41
