stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0.56,0.28,0,0,0,0.28,0,0,25.37,0.28,0,0.85,0,0,0.28,0.56,0,0,0
21Day,1.11,0,0.37,0,1.48,0,0,0,0.37,0,0.37,0,0,0.74,0,1.85,0,0,0.37,0,26.27,0.74,0,0.74,0.74,0,0.37,0,0,0,0
3Month,0,0,0.1,0.62,0,0.1,0.1,0,1.56,0.21,0.1,0.31,0.1,0.21,0.31,1.56,0.1,0,0.21,0.1,0.31,0,0.21,0,0,7.18,0.1,0,0.1,2.29,0.52
22Month,0,0.14,0,0.68,0,0,0.55,0.55,6.15,0.41,0,0.68,0.27,0,0.68,0.27,0,0,0.14,0,0.55,0,0.14,0.14,0,0.96,0,0.14,0.14,0,0.27
