stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,1,0,20,0,0,0,1,0,0,0,0,0,0,0
72hpf,0.56,0.28,1.41,0,0,0,0,0,0,0,0,0,0,1.41,0.56,0,1.69,0,0,0,0.56,12.97,4.23,0,0.28,0,1.97,0,0,0.56,0,0,0,0
21Day,1.48,0,2.59,0.37,0.37,0,0,0,0,0,0,0.37,0.37,0,3.33,0,2.59,0,0.37,0.37,0,3.33,4.44,0,0,0,0.37,0.37,0,0,0.37,0.37,0,0.37
3Month,0.1,0.21,2.6,0,0,0.1,0.21,0.42,0,4.89,1.04,0.1,0.42,0.94,0.42,0.42,1.25,0.1,0,0.1,1.56,8.84,0.1,0.1,0,0,0,0.1,1.46,0,0,0,1.04,0.21
22Month,0,0,2.19,0,0,0.14,0.55,0.27,0.82,6.83,0.14,0.14,1.23,0,0.27,0.55,1.91,0.14,0.41,0,0,4.92,0.14,0,0,0.14,0,0,0.41,0,0,0,0,0
