stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,2,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,1,3,3,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,1.13,0,1.41,10.99,0.56,4.79,0,0,0,0,0
21Day,0,0,0.74,0.37,0,0,0,0,0,0,0,0.37,0.37,0.74,0.37,0,0,0,8.14,0.37,1.11,0.37,0,0.74,0,0.37
3Month,0,0,0.42,0,0,0.1,0,0,1.66,0.1,0,0.21,0.42,0.1,1.46,0,0,0.1,0.21,0,0.1,0.21,0.83,0,0.1,0.1
22Month,0.14,0.14,0.41,0,0.14,0.14,0.55,0.68,12.44,0.41,0.27,0.96,0.14,0.68,0.55,0.68,0.14,0,0,0,0.27,0,1.78,0.14,0,0.41
