stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0.28,0,0,0,0.85,0,1.69,0,0,0,0,0
21Day,0.37,0,0,0,0,0,0,1.11,0,0,0,0,0.74,17.02,0.74,0,0,0,0
3Month,0.21,0.42,0.52,0.1,0.1,0.1,0.94,3.43,0.83,0.1,0.1,0,2.6,6.87,0.1,0.94,0.31,1.14,0.21
22Month,0,0.14,1.09,0,0.14,0,0.27,0,0,0,0,0.14,0.14,0.41,0,0,0.14,0,0
