stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0.56,0,0,0,6.76,0.28,0,0,0.28,0.28,0,0,0,0,0,0.28,0,0,0,0,0,0
21Day,1.11,0,0,9.25,2.59,0,0.74,0,0,0,0.37,0.37,19.98,0.37,0,2.22,52.91,1.48,0,0,1.85,0.37,0,0,0.74,1.85,0,0,0.74,1.11,0,0,0,16.65
3Month,0,0.21,0.1,1.66,0,0.1,0,0.21,0.62,0,2.18,0.31,1.77,0.83,0.1,0.83,46.08,0.83,0.21,0.21,0,0,0,0.21,0,0.21,0.31,0,0,0,0.1,0.1,0.52,18.1
22Month,0,0.41,0.14,1.64,0,0.14,0.27,0,0.96,0.14,3.69,0.14,1.91,0,0.14,0.27,46.87,1.09,0.14,0,0.14,0,0.14,0.14,0,0,0.14,0,0.14,0,0,0,0,21.04
