stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,3,48,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,1.97,1.13,0,0.28,0,0,0,0,0,0,0,0.56,0.85,0,1.13,0,0.28,0.56,0,6.48,4.79,0.28,0,0,0.28,0.28,0.28,0,0
21Day,1.48,0,0,1.11,0.74,0,0.37,0,0,0,0,0,1.85,0,0,0.74,0,0.74,0,0,0,0.37,0.74,0.37,0,0,0,0,0,0,0,1.11
3Month,0,0,0,4.89,0.31,0.21,0,0.1,0.31,0,1.98,1.14,0.21,0.52,2.08,0.31,1.25,0.31,0.1,0.1,0.42,0.31,1.14,0,0.21,0.21,0.31,27.36,0.31,0.1,8.32,1.35
22Month,0,0.14,0.14,1.37,0,0,0.14,0.14,0.41,0.68,3.55,0.14,0.14,0.68,0.14,0,0.14,0.14,0,0,0.14,0,0.14,0,0.14,0,0,0,0.14,0.14,0,0.41
