stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Immune_progenitor_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,1,1,3,0,0,0,0,0,2,0,1,57,0,0,0,0,0
72hpf,0,0,0.85,0.28,0,0.28,0.28,0,0.85,0,3.1,12.4,1.13,0,0.28,0.28,0
21Day,2.22,0,2.96,8.51,2.22,1.48,0,0.37,0.37,0.37,2.59,9.99,0.37,0.37,0.37,1.11,1.48
