stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,7.61,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0.28,0,0,0,0,4.79,1.13,0,0,0,0,0,0.28,0.56,0.28,0,0,0
21Day,4.44,0.37,0,0,0.37,0,0.37,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0,0,0,1.48,0.74,0,0,0,0.37,0.37,0,0,0,0,0,0.37
3Month,37.65,0.52,0.31,10.19,0.21,0.21,0,0.52,1.35,0,6.55,0.94,0.21,2.18,0.52,1.35,2.29,1.25,0.42,0,0.31,0.1,0.21,0,0.21,0.1,0,0.21,0.94,7.49,0.42,0,0.42,5.2,0.94
22Month,35.39,0.68,0.27,4.24,0,0.14,0.14,0.14,0.68,0.41,16.81,0.41,0.27,2.05,0.27,0.41,1.09,1.09,0.27,0.68,0.41,0.14,0.14,0,0.82,0,0.14,0.14,0,6.15,0.14,0,0.14,0,0.55
