stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,3,4,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,1.41,0.56,1.97,0.56,1.13,0,0,0,0,0,0,0,0,0,0.28,2.25,0.28,16.91,0,0,0,126.83,19.73,0.85,0.28,0,21.98,0,0,1.69,3.38,0.28,4.23,0,0,0
21Day,2.22,0.37,2.59,0,2.96,0,0.37,0,0,0,0,0,0.37,0.74,0,2.22,0.37,21.83,0,0.37,0,61.79,3.7,0.74,0,0,17.76,1.85,0,1.48,2.59,7.4,0,0,0,2.22
3Month,0.1,1.04,1.66,0.1,0,0,0.1,0.21,1.14,0.21,0.94,0.21,0,0.52,0.1,1.98,0.62,15.6,4.89,0.94,0.1,1.25,0.31,0.73,0.83,0,0.73,0.21,1.35,0.21,0,0,0,0.31,7.91,0.94
22Month,0.14,1.09,0.68,0,0,0.14,0,0,0.27,0.14,4.1,0.14,0.27,0.41,0.14,0.55,0.55,11.21,0.14,0.68,0,0.96,0,0.68,0.27,0.14,0.82,0,0.55,1.37,0.27,0.14,0,0,0.14,1.37
