stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0.28,0.56,0,0,0,0,0,0,0.28,0,0,0,0,0,1.41,0,0,0,0.28,0,0
21Day,0.37,0.37,1.11,0,0,0,0,0.37,0,0,0.37,0,0.37,0,0,0,0,0.37,0,0,0,0
3Month,0,0.62,0,0.1,0.1,1.87,0.31,0,1.04,0.1,0,0.21,0.1,0.1,0.1,0.1,0,0,2.91,0,0.1,0.31
22Month,0,0,0,0,0.27,2.05,0,0,0.55,0,0,0.68,0.27,0.41,0,0,0.96,0,3.14,0,0,0
